InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
572662,23177,TREASURE ISLAND BOOK BOX,1,2011-10-25 12:54:00,2.25,15443,United Kingdom,2.25
563438,23188,VINTAGE  2 METER FOLDING RULER,24,2011-08-16 12:59:00,1.65,13743,United Kingdom,39.599999999999994
555542,21676,FLOWERS  STICKERS,12,2011-06-05 12:51:00,0.85,15108,European Community,10.2
571305,21931,JUMBO STORAGE BAG SUKI,15,2011-10-17 09:55:00,4.13,15281,United Kingdom,61.949999999999996
575875,85176,SEWING SUSAN 21 NEEDLE SET,3,2011-11-11 13:06:00,1.63,15281,United Kingdom,4.89
571268,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2011-10-16 12:06:00,2.95,15351,United Kingdom,17.700000000000003
561679,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,12,2011-07-28 18:56:00,2.95,15245,United Kingdom,35.400000000000006
579492,22302,COFFEE MUG PEARS  DESIGN,24,2011-11-29 15:23:00,2.55,12670,France,61.199999999999996
545988,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-03-08 12:52:00,1.95,12662,Germany,19.5
539570,48111,DOORMAT 3 SMILEY CATS,2,2010-12-20 12:05:00,7.95,15078,United Kingdom,15.9
539211,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2010-12-16 12:15:00,1.25,16743,United Kingdom,15.0
541596,21703,BAG 125g SWIRLY MARBLES,5,2011-01-19 16:18:00,0.42,17602,United Kingdom,2.1
536532,22095,LADS ONLY TISSUE BOX,12,2010-12-01 13:24:00,1.25,12433,Norway,15.0
581166,23198,PANTRY MAGNETIC  SHOPPING LIST,2,2011-12-07 14:43:00,1.45,15525,United Kingdom,2.9
567183,22361,GLASS JAR DAISY FRESH COTTON WOOL,2,2011-09-18 15:32:00,2.95,14769,United Kingdom,5.9
561367,20723,STRAWBERRY CHARLOTTE BAG,9,2011-07-26 15:46:00,2.46,15281,United Kingdom,22.14
575851,23355,HOT WATER BOTTLE KEEP CALM,1,2011-11-11 12:13:00,4.95,14662,United Kingdom,4.95
577078,21880,RED RETROSPOT TAPE,2,2011-11-17 15:17:00,0.42,15281,United Kingdom,0.84
551954,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-05-05 12:13:00,0.65,14515,United Kingdom,10.4
572550,35970,ZINC FOLKART SLEIGH BELLS,2,2011-10-24 17:06:00,4.13,15281,United Kingdom,8.26
542303,22849,BREAD BIN DINER STYLE MINT,1,2011-01-27 11:05:00,16.95,12539,Spain,16.95
549153,21936,RED RETROSPOT PICNIC BAG,5,2011-04-06 15:47:00,2.95,13771,United Kingdom,14.75
555857,23199,JUMBO BAG APPLES,2,2011-06-07 14:03:00,2.08,16393,United Kingdom,4.16
578149,22424,ENAMEL BREAD BIN CREAM,2,2011-11-23 11:11:00,24.96,15281,United Kingdom,49.92
541588,21188,3D HEARTS  HONEYCOMB PAPER GARLAND,12,2011-01-19 14:43:00,2.95,14307,United Kingdom,35.400000000000006
570871,22027,TEA PARTY BIRTHDAY CARD,1,2011-10-12 16:36:00,0.83,15281,United Kingdom,0.83
578977,85032C,CURIOUS IMAGES GIFT WRAP SET,3,2011-11-27 15:18:00,0.65,17231,United Kingdom,1.9500000000000002
